title,author,rating,publication_date
Bleak House,Charles Dickens/Mary Gaitskill/Hablot Knight Browne,4.01,07/09/02
David Copperfield,Charles Dickens/Gish Jen,3.99,02/07/06
What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,Daniel Pool,3.85,04/21/94
Charles Dickens,Jane Smiley,3.82,05/13/02
Martin Chuzzlewit,Charles Dickens/Patricia Ingham/Hablot Knight Browne,3.83,11/25/99
Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,3.71,09/25/98
The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,4.06,01/01/92
J.K.Rowling,Colleen Sexton,3.84,09/01/05
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.4,11/01/01
J.K. Rowling's Harry Potter Novels: A Reader's Guide,Philip Nel,3.58,09/26/01
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,06/23/06
The Santaroga Barrier,Frank Herbert,3.66,09/16/02
The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,3.81,09/16/02
The Eyes of Heisenberg,Frank Herbert,3.43,09/16/02
The Birds (Methuen Drama),Sean O'Brien,2.67,07/22/02
The Frogs,Aristophanes/B.B. Rogers,3.8,01/01/05
Lysistrata,Aristophanes/Jeffrey Henderson,3.85,06/21/90
"Myths of the Underworld Journey: Plato  Aristophanes  and the ""Orphic"" Gold Tablets",Radcliffe G. Edmonds III,3.75,11/18/04
Assembly of Women (Literary Classics),Aristophanes/Robert Mayhew,3.77,04/01/97
Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,5,02/22/22
Aristophanes and His Theatre of the Absurd,Paul Anthony Cartledge,3.86,06/01/91
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler/Frank MacShane,4.47,10/01/95
Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler/Frank MacShane,4.5,10/01/95
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler/Tom Hiney,4.45,10/15/02
The High Window (Philip Marlowe  #3),Raymond Chandler,4.08,08/12/92
The Simple Art of Murder,Raymond Chandler,4.16,09/12/88
The Big Sleep (Philip Marlowe  #1),Raymond Chandler,4.01,07/12/88
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,08/12/88
An Evening of Long Goodbyes,Paul Murray,3.6,09/13/05
The Long Goodbye: Memories of My Father,Patti   Davis,3.82,10/01/05
Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada/Yuji Oniki/Carl Gustav Horn,3.97,10/11/05
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,09/20/04
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,02/24/06
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,4.04,06/12/96
Freedom Evolves,Daniel C. Dennett,3.83,01/27/04
Brainstorms: Philosophical Essays on Mind and Psychology,Daniel C. Dennett,3.95,07/13/81
Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,3.82,06/12/97
Leaps of Faith: Science  Miracles & the Search for Supernatural Consolation,Nicholas Humphrey/Daniel C. Dennett,3.61,06/04/99
Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,3.92,11/21/84
The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter/Daniel C. Dennett,4.14,04/01/85
The Illustrated A Brief History of Time,Stephen Hawking,4.17,11/01/96
A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,4.22,09/27/05
The Universe in a Nutshell,Stephen Hawking,4.15,11/06/01
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,4.07,10/04/05
Stephen Hawking's Universe: The Cosmos Explained,David Filkin/Stephen Hawking,4.29,10/09/98
The Future of Spacetime,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price,3.94,06/17/03
Stephen Hawking's Universe,John Boslough,4.02,06/01/89
The Nature of Space and Time,Stephen Hawking/Roger Penrose,4.09,10/08/00
The Physics of Star Trek,Lawrence M. Krauss/Stephen Hawking,3.83,08/16/96
Falconry & Hawking,Phillip Glasier,4.31,02/01/06
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,4.13,06/30/93
The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand/Robert Mayhew/Peter   Schwartz,3.96,02/01/01
The Journals of Ayn Rand,Ayn Rand/Leonard Peikoff/David Harriman,3.94,08/01/99
The Fountainhead,Ayn Rand/Leonard Peikoff,3.87,09/01/96
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace/Peter V. Rabins,4.24,11/01/06
The 3-Hour Diet: On the Go,Jorge Cruise,3.1,10/18/05
The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch,4.23,04/27/04
Specimen Days,Michael Cunningham,3.58,04/18/06
A Home at the End of the World,Michael Cunningham,3.91,07/01/04
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93,01/11/05
Blink,Ted Dekker,4.17,10/11/04
Blink-182: Tales from Beneath Your Mom,Mark Hoppus/Anne Hoppus/Alex Gaskarth,4.39,10/02/01
The Complete Novels,Jane Austen/Hugh  Thomson,4.55,09/03/95
The Jane Austen Book Club,Karen Joy Fowler,3.08,04/26/05
Jane Austen: The Complete Novels,Jane Austen,4.55,06/01/94
Jane Austen's Letters,Jane Austen/Deirdre Le Faye,4.16,04/03/97
Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,4.14,03/18/04
Tea with Jane Austen,Kim Wilson/Tom Carpenter,3.79,09/03/04
The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,3.77,05/01/06
Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell/Gary Carey,2.83,12/05/00
Flaubert's Parrot,Julian Barnes,3.66,11/27/90
Flaubert in Egypt: A Sensibility on Tour,Gustave Flaubert/Francis Steegmuller,3.62,03/30/96
A Sentimental Education,Gustave Flaubert/Douglas Parmée,3.83,05/18/00
Three Tales,Gustave Flaubert/Roger Whitehouse/Geoffrey Wall,3.69,01/27/05
Sentimental Education,Gustave Flaubert/Robert Baldick/Geoffrey Wall,3.83,02/05/04
The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre/Carol Cosman,3.8,01/26/94
Middlesex,Jeffrey Eugenides,4,09/16/03
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,09/26/06
John Adams,David McCullough,4.06,05/22/01
The John Adams Reader: Eseential Writings on an American Composer,Thomas May/John   Adams,3.5,06/01/06
The Letters of John and Abigail Adams,Abigail Adams/Frank Shuffelton,4.14,12/30/03
Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,4.05,02/17/01
The Portable John Adams,John  Adams/John Patrick Diggins,4.17,06/29/04
Sex For Dummies,Ruth Westheimer,3.65,12/28/00
Baby Signing For Dummies,Jennifer Watson,3.64,10/01/06
The Feeling Good Handbook,David D. Burns,4,10/28/99
On Death and Dying,Elisabeth Kübler-Ross,4.16,07/02/97
Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,4.07,06/09/97
The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder/Albert Lee Strickland,3.77,02/06/04
Mahatma Gandhi and His Myths: Civil Disobedience  Nonviolence  and Satyagraha in the Real World (Plus Why It's Gandhi  Not Ghandi),Mark Shepard,3.62,01/01/02
The Seven Habits of Highly Effective People,Stephen R. Covey,4.1,09/15/90
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,4.24,01/06/04
Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,3.9,03/21/94
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.14,04/13/06
Secret of the Peaceful Warrior,Dan Millman/Robert D. San Souci/T. Taylor Bruce,4.15,12/28/92
It's Not about the Bike: My Journey Back to Life,Lance Armstrong/Sally Jenkins,3.72,09/01/01
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,3.67,06/15/05
Truman,David McCullough,4.12,06/14/93
The Complete Stories of Truman Capote,Truman Capote/Reynolds Price,4.2,09/13/05
Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,3.89,01/13/94
Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,3.58,10/31/06
Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,3.74,09/30/03
Other Voices  Other Rooms,Truman Capote,3.8,02/01/94
In Cold Blood,Truman Capote/Scott Brick,4.07,01/03/06
Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,3.96,09/10/02
Emergence: Labeled Autistic,Temple Grandin/Margaret M. Scariano,4.07,09/01/96
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,4.02,02/01/00
The Ghost Stories of Edith Wharton,Edith Wharton/Laszlo Kubinyi,3.89,10/10/97
The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton/R.W.B. Lewis,4.3,05/12/86
Collected Stories  1911-1937,Edith Wharton/Maureen Howard,4.25,01/29/01
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton/Cynthia Griffin Wolff,4.22,04/01/90
The House of Mirth,Edith Wharton,3.95,08/06/02
Below the Root,Zilpha Keatley Snyder/Alton Raible,4.08,01/01/75
The Witches of Worm,Zilpha Keatley Snyder,3.69,05/01/91
The Deeper Meaning of Liff,Douglas Adams/John Lloyd,3.93,04/19/05
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,09/30/05
The Letters of J.R.R. Tolkien,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien,4.15,06/06/00
The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien/Christopher Tolkien,4.38,09/01/00
The Languages of Tolkien's Middle-Earth,Ruth S. Noel/J.R.R. Tolkien,3.98,05/28/80
The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,06/01/05
Farmer Giles of Ham,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,3.85,11/15/99
Tandia,Bryce Courtenay,4.05,08/31/98
Matthew Flinders' Cat,Bryce Courtenay,3.8,12/31/02
Solomon's Song (The Potato Factory  #3),Bryce Courtenay,4.01,08/31/01
An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,4.1,07/23/81
Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson/Karen Swenson,3.68,12/21/02
Brave Companions: Portraits in History,David McCullough,3.98,11/01/92
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,4.12,05/12/82
John Adams,David McCullough,4.06,05/01/01
The Johnstown Flood,David McCullough,4.11,01/01/90
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,4.2,06/01/04
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,04/01/98
The Bone Collector's Son,Paul Yee,3.27,01/01/04
El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,4.19,06/01/03
Moby Dick,Herman Melville/William Hootkins,3.5,09/01/05
Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,3.71,09/12/06
Moby Dick,Herman Melville/William Hootkins,3.5,06/16/05
Moby-Dick,Herman Melville/Carl F. Hovde,3.5,04/01/03
Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey/Duncan Wu,3.61,09/18/03
Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,3.82,04/16/98
Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,3.93,04/30/04
Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,3.82,04/03/97
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,07/01/93
"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,4.28,10/20/95
Double Tap (Paul Madriani  #8),Steve Martini,3.92,12/27/05
The List,Steve Martini,3.96,12/01/97
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,4.22,07/30/02
The Innocents Abroad,Mark Twain/Grover Gardner,3.86,02/11/03
Teaching English Abroad,Susan  Griffith,3.57,01/01/07
Theocritus: Select Poems: Select Poems,Theocritus/Kenneth James Dover,3,06/01/91
The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod/Glenn W. Most,4.03,03/01/07
Death and the King's Horseman,Wole Soyinka/Simon Gikandi,3.76,11/05/02
The Time Machine,H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner,3.89,03/31/05
The Time Machine,H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard,3.89,07/01/04
The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,3.59,10/01/98
The Time Machine,H.G. Wells/Melvin Burgess,3.89,03/01/04
The Complete Short Stories,H.G. Wells/John R. Hammond,4.14,05/01/01
Selected Stories,H.G. Wells/Ursula K. Le Guin,3.93,07/13/04
Tono-Bungay,H.G. Wells/Edward Mendelson/Patrick Parrinder,3.42,06/28/05
The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,09/26/06
In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,4.34,10/01/92
Blood Done Sign My Name: A True Story,Timothy B. Tyson,4.15,05/03/05
Blindness,José Saramago/Giovanni Pontiero,4.11,10/04/99
The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,4.29,09/28/94
All the Names,José Saramago/Margaret Jull Costa,3.89,10/05/01
The Tale of the Unknown Island,José Saramago/Peter Sís/Margaret Jull Costa,3.89,10/05/00
Baltasar and Blimunda,José Saramago/Giovanni Pontiero,3.92,10/16/98
The Cave,José Saramago/Margaret Jull Costa,3.84,10/15/03
The Stone Raft,José Saramago/Giovanni Pontiero,3.8,06/14/96
The Year of the Death of Ricardo Reis,José Saramago/Giovanni Pontiero,4.02,09/17/98
El hombre duplicado,José Saramago/Pilar del Río,3.89,09/01/04
Ensayo sobre la lucidez,José Saramago/Pilar del Río,3.8,01/01/05
La caverna,José Saramago/Pilar del Río,3.84,02/01/03
The History of the Siege of Lisbon,José Saramago/Giovanni Pontiero,3.81,09/01/98
Las intermitencias de la muerte,José Saramago/Pilar del Río,4,12/01/05
The Treasured Writings of Kahlil Gibran,Kahlil Gibran,4.42,10/06/09
The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,4.23,01/01/10
A Tear and a Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,4.03,06/27/50
On the Road,Jack Kerouac,3.63,09/06/05
On the Road,Jack Kerouac/Ann Charters,3.63,02/24/00
De Kooning: An American Master,Mark Stevens/Annalyn Swan,4.11,04/04/06
Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5,09/01/06
Aké: The Years of Childhood,Wole Soyinka,3.93,10/23/89
Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,3.85,12/28/04
The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen/Tina Blythe/Gene Thompson-Grove,4,04/29/04
Sun Tzu and the Art of Business: Six Strategic Principles for Managers,Sun Tzu/Mark McNeilly,3.89,04/01/00
Marketing Warfare,Al Ries/Jack Trout,4.11,12/13/05
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.97,01/07/02
Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,3.98,10/10/01
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen/L.J. Ganser,3.99,01/07/03
Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,3.77,12/31/02
Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens/Edgar Rosenberg,3.77,01/19/99
Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus/Martin Luther/Philip S. Watson/E. Gordon Rupp,3.8,01/01/69
To Kill a Mockingbird,Harper Lee,4.27,07/05/05
To Kill a Mockingbird,Harper Lee/Sissy Spacek,4.27,08/22/06
To Kill a Mockingbird,Harper Lee,4.27,10/17/06
The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,David H. Chilton,4.02,09/20/95
A Modest Proposal and Other Satirical Works,Jonathan Swift,4.05,02/02/96
Gulliver's Travels / A Modest Proposal,Jonathan Swift/Jesse Gale,3.79,08/01/05
Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,4.67,05/04/04
The Bostonians,Henry James/R.D. Gooder,3.59,07/23/98
Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James/Myra Jehlen,4.28,03/10/03
Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,4.63,02/02/06
Complete Stories 1892–1898,Henry James/John Hollander/David Bromwich,4.22,01/01/96
The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,3.49,01/30/03
The Canterbury Tales,Geoffrey Chaucer/David  Wright,3.49,07/09/98
The Canterbury Tales (original-spelling edition),Geoffrey Chaucer/Jill Mann,3.49,04/07/05
Chaucer's Canterbury Tales (Selected): An Interlinear Translation,Geoffrey Chaucer/Vincent Foster Hopper,3.8,12/31/77
Oxford Guides to Chaucer: The Canterbury Tales,Helen  Cooper,4.02,05/23/96
Love Visions,Geoffrey Chaucer/Brian Stone,3.61,05/26/83
Chaucer's Canterbury Tales,Geoffrey Chaucer,3.49,01/28/64
The Riverside Chaucer,Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson,4.18,12/12/87
The Portable Chaucer,Geoffrey Chaucer/Theodore Morrison,3.86,05/26/77
Salt: A World History,Mark Kurlansky,3.74,01/28/03
Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,4.2,11/01/03
The Book of Salt,Monique Truong,3.52,06/15/04
Cities of Salt (مدن الملح #1),Abdul Rahman Munif/Peter Theroux,4.13,07/17/89
The Years of Rice and Salt,Kim Stanley Robinson,3.73,06/03/03
Illuminations: Essays and Reflections,Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier,4.29,01/13/69
Saul Steinberg: Illuminations,Saul Steinberg/Joel Smith/Charles Simic,4.51,11/01/06
Advanced Global Illumination,Philip Dutre,4.5,08/30/06
Snow Falling On Cedars,David Guterson,3.83,10/21/99
The Lost Boy (Dave Pelzer #2),Dave Pelzer,4.1,08/01/97
Real Boys: Rescuing Our Sons from the Myths of Boyhood,William S. Pollack/Mary Pipher,3.83,05/10/99
Microserfs,Douglas Coupland,3.88,01/01/08
New Media Language,Jean Aitchison/Diana M. Lewis,3,05/22/03
The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,4.16,05/08/97
A People's History of the United States,Howard Zinn,4.08,08/02/05
A People's History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,4.08,07/01/03
A People's History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,4,08/01/03
Graphic Design: A Concise History (World of Art),Richard Hollis,4,05/17/02
Immigrant Acts: On Asian American Cultural Politics,Lisa Lowe,4,10/21/96
The Old Way of Seeing: How Architecture Lost Its Magic - And How to Get It Back,Jonathan Hale,3.92,09/01/95
The Crying of Lot 49,Thomas Pynchon,3.69,10/17/06
E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,10/01/00
Passionate Minds,David Bodanis,4.1,10/10/06
Christian Mythmakers: C.S. Lewis  Madeleine L'Engle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,Rolland Hein/Clyde S. Kilby,3.93,12/01/02
A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle,3.76,11/01/85
The Rock That Is Higher: Story as Truth,Madeleine L'Engle,4.12,03/19/02
The Glorious Impossible,Madeleine L'Engle/Giotto di Bondone,4.25,09/30/90
A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine L'Engle/Mary Chambers,3.98,03/07/00
A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,4.21,01/01/84
The Birth of Tragedy and Other Writings,Friedrich Nietzsche/Raymond Geuss/Ronald Speirs,4.04,04/22/99
The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche/Francis Golffing,4.01,05/07/90
The Birth of Tragedy,Friedrich Nietzsche,3.98,06/17/04
The Birth of Tragedy,Friedrich Nietzsche/Michael Tanner/Shaun Whiteside,3.98,11/27/03
Birth Of A Tragedy: Kashmir 1947,Alastair Lamb,4,03/14/08
The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins,Mark Twain/David Lionel Smith/Sherley Anne Williams,3.79,03/06/97
The Tragedy of Pudd'nhead Wilson,Mark Twain/Michael Prichard,3.79,01/01/03
Bridge to Terabithia,Katherine Paterson/Donna Diamond,4,07/01/08
Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5,01/01/02
Bread and Roses  Too,Katherine Paterson,3.76,09/04/06
The Invisible Child,Katherine Paterson,4.27,12/31/01
A Short History of Decay,Emil M. Cioran/Richard Howard,4.25,09/15/98
Scholar of Decay (Ravenloft  #14),Tanya Huff,3.46,05/01/00
Girl with a Pearl Earring,Tracy Chevalier,3.88,09/30/03
The Golden Tulip,Rosalind Laker,3.94,09/01/91
Burning Bright,Tracy Chevalier,3.36,03/20/07
Falling Angels,Tracy Chevalier,3.58,09/24/02
The Virgin Blue,Tracy Chevalier,3.66,06/24/03
Wenn Engel fallen,Tracy Chevalier,3.58,02/01/02
Tom Hunter: Living in Hell and Other Stories,Tom Hunter/Tracy Chevalier/Colin Wiggins,3.64,03/08/06
Bleach  Volume 15,Tite Kubo,4.42,10/03/06
Bleach  Volume 01,Tite Kubo,4.22,05/19/04
Bleach  Volume 14,Tite Kubo,4.38,08/01/06
Bleach  Volume 11,Tite Kubo,4.36,02/07/06
Bleach  Volume 12,Tite Kubo,4.36,04/04/06
DEATH NOTE デスノート 1,Tsugumi Ohba/Takeshi Obata/大場 つぐみ/小畑 健,4.43,04/02/04
Death Note  Vol. 4: 恋心 (Death Note  #4),Tsugumi Ohba/Takeshi Obata,4.39,11/11/04
Death Note  Vol. 3: 激走 (Death Note  #3),Tsugumi Ohba/Takeshi Obata,4.43,09/03/04
Love Artist (Harlequin Romance #2860),Valerie Parv,3.25,07/24/87
Perfume: The Story of a Murderer,Patrick Süskind/John E. Woods,4.02,02/13/01
Das Parfum. Die Geschichte eines Mörders,Patrick Süskind,4.02,06/01/94
Three Stories and a Reflection,Patrick Süskind,3.57,11/13/97
The Pigeon,Patrick Süskind,3.68,06/29/89
The Story of Mr Sommer,Patrick Süskind/Jean-Jacques Sempé,3.84,11/03/03
Bleach―ブリーチ― 1 [Burīchi 1] (Bleach  #1),Tite Kubo,4.22,01/05/02
Bleach  Tome 1: The Death and the Strawberry,Tite Kubo,4.22,07/02/03
Escape from Fire Mountain (World of Adventure  #3),Gary Paulsen/Steve Chorney,3.67,01/01/95
How Angel Peterson Got His Name,Gary Paulsen,3.93,08/10/04
Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),Gary Paulsen,4.44,09/09/03
Chicago Blues: The City and the Music,Mike  Rowe/Ronald Radano,3.92,08/22/81
Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,4.26,02/17/95
Brian's Winter,Gary Paulsen,4.01,01/01/96
Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe/Virginia Woolf,3.67,06/12/01
Robinson Crusoe,Daniel Defoe/John J. Richetti,3.67,03/27/03
Robinson Crusoe,Daniel Defoe/Michael Shinagel,3.67,12/19/94
Robinson Crusoe,Daniel Defoe/Avi,3.67,07/01/01
Robinson Crusoe,Daniel Defoe,3.67,07/14/06
A General History of the Pyrates,Daniel Defoe/Manuel Schonhorn/Charles   Johnson,3.72,01/26/99
Huck Finn & Tom Sawyer among the Indians & Other Unfinished Stories (Mark Twain Library),Mark Twain/Paul Baender/Dahlia Armon/Walter Blair,3.85,03/15/03
Huck Finn and Tom Sawyer Among the Indians,Mark Twain/Lee Nelson,3.57,04/22/03
Huck Finn/Pudd'nhead Wilson/No 44 Mysterious Stranger other Writings,Mark Twain/Guy Cardwell/Louis J. Budd,4.06,08/01/00
The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),Mark Twain/Guy Cardwell/John Seelye/Walter Trier,3.82,12/31/02
Adventures of Huckleberry Finn,Mark Twain/E.W. Kemble,3.82,05/06/05
Adventures of Huckleberry Finn,Mark Twain/George Saunders,3.82,08/14/01
The Annotated Huckleberry Finn,Mark Twain/Michael Patrick Hearn/E.W. Kemble,3.82,10/17/01
The Wit and Wisdom of Mark Twain,Mark Twain,4.2,12/23/98
Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,Mark Twain/Lin Salamo/Victor Fischer/Michael B. Frank,3.86,10/18/04
The Complete Short Stories of Mark Twain,Mark Twain/Charles Neider,4.28,03/01/84
The Autobiography of Mark Twain,Mark Twain/Charles Neider,4.05,11/28/00
Collected Tales  Sketches  Speeches  & Essays 1891–1910,Mark Twain/Louis J. Budd,4.39,10/15/92
Lost Horizon,James Hilton,3.92,06/15/04
Louisa May Alcott's Christmas Treasury,Louisa May Alcott/C. Michael Dudash/Stephen W. Hines,3.96,06/01/02
My Secret Garden: Women's Sexual Fantasies,Nancy Friday,3.68,10/28/03
The Secret Garden,Frances Hodgson Burnett,4.13,09/01/98
The Secret Garden,Frances Hodgson Burnett/Sandra M. Gilbert,4.13,07/01/03
The Secret Garden,Martha Hailey DuBose/Frances Hodgson Burnett/Lucy Corvino/Arthur Pober,4.33,03/01/05
The Secret Garden,Frances Hodgson Burnett/Alison Lurie,4.13,01/30/03
A Little Princess,Frances Hodgson Burnett/Nancy Bond,4.2,02/26/02
Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,Ann Thwaite,3.8,09/01/94
The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,Amy Cotler/Frances Hodgson Burnett/Prudence See,4.3,03/19/99
Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,4.32,12/24/03
Basic Economics: A Common Sense Guide to the Economy,Thomas Sowell,4.32,04/03/07
Black Rednecks and White Liberals,Thomas Sowell,4.38,06/01/05
Applied Economics: Thinking Beyond Stage One,Thomas Sowell,4.14,11/13/03
Knowledge And Decisions,Thomas Sowell,4.39,10/04/96
